taxonomic lineage,TR2-64-1,WC-10-1,TR1-62-2,TR2-44-2,WC-30-2,TR1-52-2,TR1-42-2,TR2-24-2,WC-50-2,WC-40-2,WC-35-2,TR1-32-2,WC-20-2,TR2-34-2,Mel1-3,Mel1M-2,Mel2S-3,Mel3S-1,Ritt1-3,Ritt3-3,Ritt3M-3
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,509,91,12,815,380,0,681,163,301,47,0,138,395,374,144,68,194,234,598
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,528,0,0,0,226,68,178,0,132,0,0,15,587,644,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,403,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,36,0,0,0,119,58,55,0,0,0,0,15,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,72,0,0,0,0,0,30,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,63,0,0,0,16
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,16,0,0,0,0,0,14,0,8,0,0,0,12,19,0,16,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,54,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,53,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,30,0,0,0,0,0,0,0,8,0,2,0,0,27,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,40
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,32
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,13,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,7,0,0,46,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,0,0,3,0,11
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
